"token","wordscores_manifesto"
"citizen's_income",3.32473055963016
"taxes_duties",3.32503360034922
"public_finances",3.32854156213731
"tax_rates",3.32966630801103
"social_market",3.3348342269768
"svp_advocates",3.55085370803654
"framework_conditions",3.56754090162132
"democratic_left",3.56968179622765
"dkk_billion",3.60642933684968
"viewpoints_svp",3.6067870313912
"market_economy",3.64994023472807
"freedom_choice",3.71078769966293
"personal_responsibility",3.77447181209036
"svp_committed",3.84158453618899
"open_vld",3.8599730899561
"federal_council",4.09370642629317
"progressive_democrats",4.33157588487925
"conservative_party",4.35895771084116
"free_democrats",4.74347377654611
"progress_party",7.34999618592333
