"token","wordscores_manifesto"
"among_children_young_people",16.1977863917603
"reducing_greenhouse_gas_emissions",16.2174706063396
"rule_law_human_rights",16.2224931584443
"ensure_children_young_people",16.2298058218006
"state_security_forces_corps",16.2340185611409
"lesbian_gay_bisexual_transgender",16.2717000602971
"unaccompanied_minor_asylum_seekers",16.2748713137457
"european_convention_human_rights",16.3024360216812
"earned_income_tax_credit",16.3047734931809
"discrimination_based_sexual_orientation",16.3051623184971
"transatlantic_trade_investment_partnership",16.3134645082839
"people_mental_health_problems",16.3454822230959
"low_middle_income_earners",16.3516462383187
"reduce_greenhouse_gas_emissions",16.3610719438164
"early_childhood_education_care",16.4309517436679
"based_sexual_orientation_gender",16.4612019794322
"sustainable_development_goals_sdgs",16.4921097403332
"equal_pay_equal_work",16.5133677296195
"convention_rights_persons_disabilities",16.7668345108273
"sexual_orientation_gender_identity",17.1127430410082
