"token","wordscores_manifesto"
"social_housing",17.8608433825168
"sweden_democrats",17.8856027747173
"public_authorities",17.9119428450654
"across_country",17.9840682039729
"gender_equality",18.0163338892937
"trade_unions",18.1036275710685
"climate_change",18.1352617767183
"social_democratic",18.173366029329
"living_wage",18.2303176907387
"public_services",18.4202197299142
"plaid_cymru",18.5462034608825
"working_conditions",18.8181535518704
"féin_priorities",18.891551550753
"labor_party",18.9938977814557
"left_party",19.367510734988
"mental_health",19.7798854088043
"social_democrats",19.8029271907077
"die_linke",20.1911989045687
"cdh_proposes",21.5214138567809
"sinn_féin",23.7420314119113
