"token","wordscores_manifesto"
"sexual_orientation_gender_identity",-10.7843091608787
"convention_rights_persons_disabilities",-9.3544290698698
"reduce_greenhouse_gas_emissions",-8.86404446759934
"equal_pay_equal_work",-8.78612653916144
"based_sexual_orientation_gender",-8.52258930250219
"green_party_comhaontas_glas",-8.44493546246962
"early_childhood_education_care",-8.40502140279238
"discrimination_based_sexual_orientation",-8.33822866773689
"european_convention_human_rights",-8.23604843137213
"sustainable_development_goals_sdgs",-8.22658994513218
"lesbian_gay_bisexual_transgender",-8.15954466347644
"transatlantic_trade_investment_partnership",-8.15080360028944
"propose_implement_following_measures",-8.13677249911361
"state_security_forces_corps",-8.10498185274467
"government_pension_fund_global",-8.01727597589252
"universities_universities_applied_sciences",-7.95402333297364
"reduction_greenhouse_gas_emissions",-7.94325567115028
"autonomous_communities_city_councils",-7.93902775002567
"unaccompanied_minor_asylum_seekers",-7.93031147380788
"reducing_greenhouse_gas_emissions",-7.91539002208984
