"token","wordscores_manifesto"
"greenhouse_gas_emissions",2.29705593783041
"children_young_people",2.32407863372446
"green_new_deal",2.4096318544052
"sexual_orientation_gender",2.43223297569278
"orientation_gender_identity",2.45485114317451
"equality_women_men",2.47039661657748
"sinn_féin_priorities",2.47591465287206
"mental_health_services",2.51031426568341
"sustainable_development_goals",2.51133567680323
"social_democratic_party",2.52831176509357
"fight_climate_change",2.52875893889973
"social_security_system",2.52897451051539
"reduction_working_hours",2.53138228590537
"human_rights_violations",2.5375739045475
"mental_health_care",2.54075492914937
"green_party_comhaontas",2.54370613185326
"party_comhaontas_glas",2.5465606082893
"economic_social_cultural",2.55455332749524
"services_general_interest",2.56010003024412
"mental_health_problems",2.5731852971304
