"token","wordscores_manifesto"
"rate_income_tax",2.98042902735856
"fine_gael_government",3.00140950304132
"national_road_network",3.01030924224204
"shortage_skilled_workers",3.01305662043863
"new_federal_states",3.02131328888345
"private_pension_provision",3.02624487817771
"private_property_rights",3.03150138155533
"corporate_income_tax",3.03337527954932
"improve_framework_conditions",3.04924688955716
"health_insurance_premiums",3.05996121402021
"non-wage_labor_costs",3.06482882831241
"greater_freedom_choice",3.06850572593035
"conservative_people's_party",3.09221738959929
"income_tax_rate",3.11730582003874
"small_medium-sized_enterprises",3.14907823670207
"national_insurance_scheme",3.18361707328789
"free_democrats_committed",3.18366921816125
"free_movement_persons",3.26159390339666
"social_market_economy",3.31968137507631
"progress_party_work",3.39248629870845
