"token","wordscores_manifesto"
"federal_state_local_governments",2.82093242314712
"human_rights_rule_law",2.83476570635475
"reform_common_agricultural_policy",2.83537226953995
"among_children_young_people",2.83829831459888
"united_nations_security_council",2.8423818178636
"common_foreign_security_policy",2.84595517610936
"micro_small_medium-sized_enterprises",2.84632452092427
"use_renewable_energy_sources",2.84808381910188
"universities_universities_applied_sciences",2.84823277814941
"economic_growth_job_creation",2.848262147914
"within_framework_united_nations",2.84978151003477
"also_play_important_role",2.8508312351085
"subject_social_insurance_contributions",2.85437354688096
"state_governed_rule_law",2.88649431139539
"take_advantage_opportunities_offered",2.88721630665623
"earned_income_tax_credit",2.89106994812825
"member_states_european_union",2.89168276434667
"small_medium-sized_enterprises_smes",2.91834128554291
"proliferation_weapons_mass_destruction",2.94679843243074
"corporate_income_tax_rate",2.96601847915703
