"token","wordscores_manifesto"
"vlaams_belang",13.0022614758557
"party_animals",13.2606624380543
"christian_union",13.3954483442966
"cdu_csu",14.1097581340798
"personal_responsibility",14.1497889010674
"federal_council",14.4301705603987
"free_democrats",14.5072927115762
"progress_party",14.5294909029573
"market_economy",14.5807063052732
"convergéncia_unió",14.6778109374072
"svp_committed",14.6952939629191
"public_administration",14.7654257870877
"armed_forces",14.7934197407044
"basque_country",14.8530179875905
"progressive_democrats",14.8853411282242
"conservative_party",14.900164007518
"illegal_immigrants",14.9434840283337
"framework_conditions",14.9967277440544
"social_market",14.9996810243001
"federal_states",14.9997312729149
