"token","wordscores_manifesto"
"care_taken_ensure",-6.62055444134246
"exhausted_legal_remedies",-6.55470674612548
"fellow_human_beings",-6.48454640596015
"development_cooperation_budget",-6.46479316334524
"coming_cabinet_period",-6.3845872687782
"health_care_costs",-6.37258390402377
"income_tax_rate",-6.36811753124056
"level_playing_field",-6.36716004797374
"labor_force_participation",-6.35662994333432
"health_care_providers",-6.25849143162234
"conservative_people's_party",-6.24178019586469
"rejected_asylum_seekers",-6.19818739880506
"new_federal_states",-6.04264911652672
"mortgage_interest_deduction",-6.03191740639112
"vision_vlaams_belang",-5.99562802641777
"progress_party_work",-5.93399277727878
"social_market_economy",-5.82671910895121
"free_movement_persons",-5.43891915019478
"vlaams_belang_advocates",-5.21283646904224
"danish_people's_party",-4.42855493511845
