"token","wordscores_manifesto"
"gender",-16.3743077940873
"equality",-15.5717087509698
"proposes",-15.5177590113613
"inequality",-15.4923770686059
"socialists",-15.3550613818371
"access",-15.1880309683066
"labour",-15.1510563837983
"féin",-14.6082047031318
"sinn",-14.5079781318391
"workers",-14.4589935735791
"norway",-14.446624983715
"ecolo",-14.3939753845567
"rights",-14.1797040420483
"ecological",-14.159533883543
"denk",-14.0662628651592
"women",-14.0615265872849
"poverty",-14.0533836444211
"climate",-14.0384726043487
"discrimination",-14.0215187125682
"inequalities",-14.0135426489234
