"token","wordscores_manifesto"
"dutch_government",-4.52674968059632
"freedom_choice",-4.3283577823096
"dutch_language",-4.18253510173138
"danish_people's",-4.16975907656403
"dutch_society",-4.14233028471445
"svp_advocates",-4.0439291278174
"free_democrats",-3.91638731770293
"cdu_csu",-3.90452710512396
"northern_ireland",-3.86024116798718
"viewpoints_svp",-3.76044574317284
"illegal_immigrants",-3.74407248326043
"conservative_party",-3.22043243399295
"federal_council",-2.66877001859598
"svp_committed",-2.55891297691957
"personal_responsibility",-2.51140790006157
"people's_party",-1.85674334124648
"open_vld",-0.246704050647637
"christian_union",0.117105236363355
"progress_party",3.55465946285583
"vlaams_belang",5.91266883978432
