"token","wordscores_manifesto"
"children_young_people",-12.9052614026438
"greenhouse_gas_emissions",-11.5381000342702
"sexual_orientation_gender",-11.2425295351726
"sinn_féin_priorities",-11.1004567127457
"orientation_gender_identity",-10.8923986709858
"social_security_contributions",-10.8573059260089
"equality_women_men",-10.5412274215363
"reduction_working_hours",-10.1015897282865
"upper_secondary_education",-10.0708065902367
"fight_climate_change",-10.0076495658576
"social_security_system",-9.87564805033498
"early_childhood_education",-9.79176950821749
"sustainable_development_goals",-9.74944821127798
"access_higher_education",-9.68485493202908
"pay_working_conditions",-9.67882864847533
"services_general_interest",-9.67765835838876
"people_functional_diversity",-9.52302815866736
"mental_health_services",-9.51087938784243
"public_health_system",-9.4582713153922
"national_health_system",-9.4278036677229
