"token","wordscores_manifesto"
"european_court_human_rights",4.13944637389923
"reduction_greenhouse_gas_emissions",4.14563993058781
"transatlantic_trade_investment_partnership",4.14652630486387
"european_union_member_states",4.14945387503732
"rule_law_human_rights",4.15352748901151
"discrimination_based_sexual_orientation",4.1577151732126
"based_sexual_orientation_gender",4.16439840253286
"subject_social_insurance_contributions",4.16908951441683
"state_security_forces_corps",4.17114195158888
"propose_implement_following_measures",4.18089323860838
"european_central_bank_ecb",4.18811813739294
"common_agricultural_policy_cap",4.18871692564711
"green_party_comhaontas_glas",4.18919512103705
"reduce_greenhouse_gas_emissions",4.1917769143852
"sustainable_development_goals_sdgs",4.19943129096362
"federal_state_local_governments",4.2114025790327
"equal_pay_equal_work",4.28079187147474
"european_convention_human_rights",4.34195758192749
"convention_rights_persons_disabilities",4.4595619878622
"sexual_orientation_gender_identity",4.49306257926142
